CD_STATION;MOYPTOT;MAXPTOT
01184X0027/C1;0.1;0.13
01561X0135/P;0.1;0.1
08138X0210/S;0.1;0.1
01944X0002/F;0.1;0.12
04132X0191/PMT;0.1;0.2
02247X0001/FAEP1;0.10025;0.139
08524X0046/F;0.1005;0.127
08285X0036/F;0.101;0.101
10097X0288/HY;0.101;0.109
09793X0003/F;0.1015;0.114
03788X0067/F;0.1025;0.14
01922X0006/F;0.102595;0.24
07315X0002/HY;0.102857143;0.14
06832X0016/S;0.102857143;0.11
01518X0153/HY3;0.103;0.125
02137X0011/S1;0.10386;0.31
02673X0017/HY;0.1045;0.18
10148X0021/BASSAN;0.1046;0.18
05274X1127/PZN94;0.105;0.15
02347X0026/F;0.105;0.24
01056X0108/HY;0.105;0.17
00671X0049/P-C;0.10525;0.15
03033X0024/HY;0.106;0.12
04961X0091/F2;0.106333333;0.28
09382X0042/ESSAI;0.106428571;0.23
03386X0005/HY;0.107;0.107
03781X0026/S;0.1075;0.22
02347X0152/F;0.1075;0.165
04513X0007/F1;0.108076923;0.47
00945X0013/P1;0.1082;0.174
10391X0010/S;0.109;0.109
05095X0042/P;0.11;0.22
02998X0035/PS2;0.11;0.3
07596X0010/F;0.11;0.19
09411X0257/F;0.11;0.15
09782X0013/F4;0.11;0.18
03323X0001/SAEP;0.11;0.22
01205X0135/C1;0.11;0.162
02264X1009/P;0.11086;0.156
01474X0052/P1;0.111;0.139
03032X0012/HY;0.111;0.18
02613X0071/PUITS;0.111;0.111
10577X0138/F;0.1115;0.223
01358X0201/F;0.1116;0.15
06332X0002/F;0.112;0.196
05537X0107/AEP;0.1125;0.25
06374X0001/F1;0.1125;0.14
04635X0012/HY22;0.112666667;0.304
04361X0004/SOURCE;0.113;0.352
05241X0029/AEP;0.1135;0.367
05635X0152/F;0.1135;0.206
00338X0045/P;0.114;0.114
06831X0001/HY;0.115;0.12
09651X0009/S;0.11525;0.221
04502X0045/SGB2;0.1155;0.12
09027X0038/HY;0.1155;0.117
01084X0018/F;0.116;0.16
10577X0101/F;0.116;0.348
00752X0038/F;0.116666667;0.337
05414X1002/PAEP;0.1174;0.136
01044X0155/P;0.1175;0.15
04124X0059/F;0.1175;0.17
00726X0004/FE1;0.1175;0.225
04622X0013/HYAEP;0.117666667;0.183
03477X0011/HY;0.118;0.122
09308X0118/F;0.118;0.179
08187X0162/P;0.118666667;0.25
00753X0050/F;0.118777778;0.22
00578X0007/HY;0.1195;0.201
05405X0001/SOURCE;0.119777778;0.38
01215X0040/C1;0.119833333;0.199
07702X0241/P;0.12;0.15
00612X0023/F2;0.12;0.12
00234X0001/F1;0.12;0.12
09915X0199/SALINA;0.1206;0.18
03468X0051/P1;0.121;0.136
09698X0012/F;0.121666667;0.27
03004X0004/SAEP;0.12225;0.156
01172X0010/F;0.1224;0.157
05274X0224/PZ527;0.1225;0.15
04017X0001/SOURCE;0.123285714;0.411
05625X0015/F5;0.1245;0.153
04225X0050/P2;0.124666667;0.21
06114X0004/R;0.124777778;0.234
01996X0023/F;0.125;0.16
01756X0011/F2;0.1256;0.2
06608X0034/PUITS;0.12625;0.22
04627X0035/FAEP;0.1265;0.138
10403X0312/CAILAN;0.127142857;0.28
09653X0261/61079;0.1275;0.19
01996X0168/F2;0.1275;0.24
07956X0037/D;0.1285;0.233
03331X0025/25;0.128666667;0.22
02251X0001/FAEP;0.129;0.212
01571X0134/F2;0.1295;0.23
01184X0051/F2;0.129666667;0.18
06992X0035/S2;0.13;0.21
06216X0227/P30-04;0.13;0.13
00362X0022/P1;0.13;0.13
09526X0212/F;0.130333333;0.158
04941X0015/P;0.1315;0.317
04377X0029/SOURCE;0.1317;0.673
01253X0082/F;0.132;0.47
00814X0065/P;0.132;0.232
10035X0012/F5;0.132;0.264
04295X0017/F3;0.1322;0.151
01511X0036/F;0.1325;0.53
10147X0075/LIMBAR;0.132714286;0.24
08417X0015/HY;0.133;0.133
07102X0503/HY;0.133333333;0.42
02522X0003/S1;0.13375;0.169
00601X0040/111111;0.135;0.16
10644X0008/P;0.135;0.23
05146X0001/P;0.13525;0.17
09908X0201/P;0.136;0.64
01178X0009/FD1;0.136;0.207
03353X0029/SAEP1;0.1374;0.369
03784X0016/F;0.1376;0.24
02611X1016/F2;0.138;0.252
00785X0001/F;0.138666667;0.256
00116X0001/P1;0.14;0.14
03384X0039/F;0.14;0.28
00356X0045/HY;0.14;0.14
