CD_STATION;MOYPTOT;MAXPTOT
00054X0169/F1;0.0;0.0
00057X0245/F1;0.0;0.0
00057X0248/F4;0.0;0.0
00071X0015/F;0.0;0.0
00085X0063/F2;0.0;0.0
00143B0027/F1;0.0;0.0
00144D0129/F1;0.0;0.0
00144D1166/F6;0.0;0.0
00194D0214/F1;0.0;0.0
00196X0053/P1;0.0;0.0
00201B0019/F19;0.0;0.0
00204X0216/F2;0.0;0.0
00215X0187/PZAE;0.0;0.0
00216X0019/F1;0.0;0.0
00225X0016/F6;0.0;0.0
00276X0032/P1;0.0;0.0
00281X0327/F3;0.0;0.0
00333X0045/F1;0.0;0.0
00345X0052/HY;0.0;0.0
00353X0097/F2;0.0;0.0
00367X0006/P1;0.0;0.0
00395X0196/F2;0.0;0.0
00453X0080/HY;0.0;0.0
00466X0149/PC;0.0;0.0
00491X0218/F3;0.0;0.0
00501X0045/S;0.0;0.0
00625X0031/HY;0.0;0.0
00632X0069/F31;0.0;0.0
00646X0107/F;0.0;0.0
00652X0053/F;0.0;0.0
00678X0003/PAEP;0.0;0.0
00692X0044/AEP;0.0;0.0
00803X0002/PC;0.0;0.0
00825X0015/F;0.0;0.0
00861X0032/PAEP;0.0;0.0
00946X0035/F3;0.0;0.0
01007X0115/F;0.0;0.0
01052X0003/P;0.0;0.0
01093X0005/PAEP;0.0;0.0
01103X0065/FE2;0.0;0.0
01138X0184/G14BIS;0.0;0.0
01168X0034/F1;0.0;0.0
01358X0045/PC9;0.0;0.0
01374X0017/HY;0.0;0.0
01374X0273/G;0.0;0.0
01516X0115/F2;0.0;0.0
01555X0067/F;0.0;0.0
01604X1015/3;0.0;0.0
01652X0127/F3;0.0;0.0
01687X0012/SUP;0.0;0.0
01812X0006/F;0.0;0.0
01824X0031/F3;0.0;0.0
01832B0065/F1;0.0;0.0
01937X0004/F;0.0;0.0
01957X0037/F;0.0;0.0
01987X0072/F2B;0.0;0.0
02025X0004/HY;0.0;0.0
02028X0015/P1;0.0;0.0
02042X0021/HY;0.0;0.0
02184X0001/SP;0.0;0.0
02191X0003/F;0.0;0.0
02257X0018/F1;0.0;0.0
02261X0080/F2;0.0;0.0
02292X0044/F3;0.0;0.0
02294X0014/HY;0.0;0.0
02306X0113/F;0.0;0.0
02311X0017/F;0.0;0.0
02318X0008/F;0.0;0.0
02323X0049/F;0.0;0.0
02344X0154/F1-EST;0.0;0.0
02397X0006/F28;0.0;0.0
02402X0008/C8;0.0;0.0
02452X0042/P1;0.0;0.0
02504X0002/C1;0.0;0.0
02506X0008/P;0.0;0.0
02586X0056/F1;0.0;0.0
02648X0027/SAEP;0.0;0.0
